evidence_id,title,doi,primary_url,donor_or_organism,life_stage,salinity_chemistry,salinity_concentration,ec_context,exposure_duration,experimental_unit,sample_size,endpoint,reported_effect,effect_units_context,limitation,evidence_tier,retrieval_date,source_sha256,source_sha256_status,source_reference_identity,metadata_basis,program_assumptions
"EV_SBSOS1_2012","The SbSOS1 gene from the extreme halophyte Salicornia brachiata enhances Na+ loading in xylem and confers salt tolerance in transgenic tobacco","10.1186/1471-2229-12-188","https://doi.org/10.1186/1471-2229-12-188","Salicornia brachiata Roxb.","One-month donor seedlings and stable T0/T1 Nicotiana tabacum transformants","NaCl-only donor and tobacco assays","Donor 0.10-2.0 M NaCl; tobacco 0-300 mM NaCl depending on assay","not_reported","Donor 48 h; tobacco 15 d germination, 30 d seedlings, 45 d tissue collection, or 60 d ROS arm depending on assay","Independent T0 event for transformation; selected stable line or plant for later assays","70 independent T0 events initially screened; selected-line n varies by assay and is not_reported here","Germination; growth; biomass; water status; chlorophyll; Na/K/Ca; xylem-sap Na; ROS; leakage; osmolytes","Selected transgenics showed improved stress phenotypes and K/Na ratio with lower root/leaf Na, but higher stem and xylem-sap Na","Source-reported relative traits and organ ion concentrations; no almond-rootstock effect","The reported xylem-loading route could raise scion or kernel Na; 35S tobacco evidence does not establish cortex-facing almond expression or safe whole-system ion fate","E2","2026-08-12","not_available","primary_source_not_archived","doi:10.1186/1471-2229-12-188","mixed_source_reported_and_program_assumption","C4 is conditionally admitted by program rule only after cortex-facing localization; it is not assumed to be an exclusion gene"
"EV_PPHKT1_2019","Expression of the high-affinity K+ transporter 1 (PpHKT1) gene from almond rootstock 'Nemaguard' improved salt tolerance of transgenic Arabidopsis","10.1371/journal.pone.0214473","https://doi.org/10.1371/journal.pone.0214473","Prunus persica rootstock 'Nemaguard'","Stable T3 Arabidopsis thaliana athkt1 lines PpHKT1OE2.2 and PpHKT1NP6; assays used seedlings or three-week-old soil plants","One-eighth-strength MS with NaCl for soil assays; MS plus NaCl for lateral-root assay; no complete seawater chemistry","80 mM NaCl for lateral-root assay; 90 mM primary treatment; survival explored at 120 and 150 mM","not_reported","10 days for 80 mM root assay; 18 days for dry weight; 2-3 weeks for 90 mM leakage/survival; expression sampled at 48 hours","Independent stable line for construct generalization; individual seedling or plant is the within-line biological unit and leaf disks are subsamples","2 named transgenic lines; soil assay 12 plants per line; root methods report 8 seedlings per line x 3 replicates while the figure reports 10 seedlings per replicate (n=3); assay-specific n otherwise varies","Germination; survival; root architecture; biomass; leakage; relative water content; expression; complementation","Both lines survived 120 mM when athkt1 died after 18 days; at 90 mM they improved dry weight and survival, and at 80 mM they improved lateral roots and fresh weight relative to athkt1","Source-reported survival, weight, root, leakage, water-content, and expression context; methods/figure seedling-count discrepancy is retained","Two Arabidopsis lines do not establish woody-root xylem retrieval, root-stele injury limits, scion protection, or the exact Nemaguard clone; two Lovell reference isoforms exist","E1","2026-08-12","not_available","primary_source_not_archived","doi:10.1371/journal.pone.0214473","mixed_source_reported_and_program_assumption","E1 is a program tier; Prupe.1G067100 is a reference locus and not a sequence certificate for the experimental Nemaguard clone"
"EV_PPSOS2_2022","Transgenic Expression of Prunus persica Salt Overly Sensitive 2 (PpSOS2) in the atsos2 Mutant Imparts Salt Tolerance in Arabidopsis","10.1021/acsagscitech.1c00276","https://doi.org/10.1021/acsagscitech.1c00276","Prunus persica rootstock 'Nemaguard'","Stable atsos2 Arabidopsis complementation lines PpSOS2.OE3.5 and PpSOS2NP.2.7","NaCl-only assays","90 mM NaCl for germination, survival, and dry weight; 50 mM for root growth, leakage, and 24-h expression sampling","not_reported","Assay-specific; 24 hours for reported expression sampling","Independent stable transgenic line for construct generalization; plant/seedling within line","2 named transgenic lines; per-endpoint biological n not_reported in this registry","Germination; survival; dry weight; roots; leakage; expression and K-channel/ROS-response expression","Both lines improved germination, survival, and dry weight at 90 mM NaCl; 50 mM root inhibition was restored and leakage was lower","Source-reported relative phenotype and assay context","A broad-network kinase result in Arabidopsis does not establish compatible CBL/SOS1 activation, ion destination, pleiotropy, or almond efficacy","E1","2026-08-12","not_available","primary_source_not_archived","doi:10.1021/acsagscitech.1c00276","mixed_source_reported_and_program_assumption","E1 is a program tier; PpSOS2/PpCIPK24 identity remains anchored to reference locus and accession versions"
"EV_KANAH_2022","The red seaweed Kappaphycus alvarezii antiporter gene (KaNa+/H+) confers abiotic stress tolerance in transgenic tobacco","10.1007/s11033-022-07213-7","https://doi.org/10.1007/s11033-022-07213-7","Kappaphycus alvarezii","Stable transgenic tobacco; precise developmental stage unresolved in the accessible record","Salt and osmotic stress reported; complete chemistry not_reported","not_reported","not_reported","not_reported","Independent stable tobacco event should be the construct-level unit; actual event allocation unresolved","not_reported in the accessible primary metadata","Growth and physiological responses under salt and osmotic stress","Authors report that author-labeled KaNa+/H+ expression conferred abiotic-stress tolerance in transgenic tobacco","Relative phenotype; exact concentration, units, duration, and n unresolved in this registry","The paper reports unversioned MT473962 and calls the cloned material a full-length coding sequence, whereas NCBI resolves MT473962.1 as a partial CDS; this identity/completeness conflict, exact construct map, event mapping, settled official symbol, verified topology, and orthogonal transport-direction evidence remain unresolved; tobacco is not almond","E3","2026-08-13","not_available","primary_source_not_archived","doi:10.1007/s11033-022-07213-7","mixed_source_reported_and_program_assumption","KaNa+/H+ remains an author label; the paper reports MT473962 (unversioned) and calls the cloned material a full-length coding sequence, while the independently retrieved repository record resolves MT473962.1 as a partial CDS. The identity/completeness conflict and construct readiness remain unresolved; E3 is a program tier"
"EV_PAVNHX37_2026","Genome-wide identification of the NHX gene family in sweet cherry and functional dissection of PavNHX37, a key salt tolerance gene","10.1186/s12870-026-09156-8","https://doi.org/10.1186/s12870-026-09156-8","Prunus avium 'Meizao' donor and Nicotiana benthamiana recipient","In-vitro sweet-cherry plantlets and stable transgenic tobacco; four-week tobacco used for localization","NaCl solutions applied to plantlets or tobacco pots","0, 50, 100, and 150 mM NaCl","not_reported","Sweet-cherry expression 24 h; tobacco physiological assays after 72 h treatment","Biological replicate; independence and allocation of stable tobacco lines are not fully reported as a construct-level n","3 independent biological replicates for reported assays; independent stable-line count used per endpoint unresolved","NHX-family expression; localization; tobacco growth; Na/K; proline; MDA; ROS and antioxidant enzymes","PavNHX37 expression rose 8.9-fold at 150 mM NaCl; overexpressing tobacco showed lower Na, higher K, better growth, and SOD/POD/CAT activities 3.0-, 3.2-, and 1.2-fold WT under 150 mM","Fold expression and enzyme-activity ratios plus relative ion and growth context","Recent tobacco study with unusual plasma-membrane annotation; exact public accession/sequence identity is not pinned and requires phylogeny, topology, direct transport, and organ-resolved flux audit","E3","2026-08-12","not_available","primary_source_not_archived","doi:10.1186/s12870-026-09156-8","mixed_source_reported_and_program_assumption","PavNHX37 sequence remains unresolved in AlmondLab despite source-reported coordinates and CDS length; no accession is inferred"
"EV_CROP_NA_TRANSPORT_REVIEW_2020","Improving crop salt tolerance using transgenic approaches: An update and physiological analysis","10.1111/pce.13865","https://doi.org/10.1111/pce.13865","Crop plants reviewed; no single donor organism","Multiple crop life stages across reviewed studies","Multiple salinity treatments across reviewed literature","not_applicable_as_single_experiment","not_applicable_as_single_experiment","not_applicable_as_single_experiment","Review article; no single experimental unit","not_applicable_as_single_experiment","Transgenic salt-tolerance mechanisms and physiological limitations","Review evaluates crop salt-tolerance engineering and emphasizes physiological interpretation and field-validation gaps","Narrative review context; no single effect estimate","Review evidence cannot substitute for candidate-specific sequence identity, target-chassis localization, independent field validation, or an almond experiment","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","doi:10.1111/pce.13865","source_reported","none"
"EV_INTENSIA_2024","'Intensia', a New Dwarfing Almond x Peach Hybrid Rootstock for Almond and Peach","10.21273/HORTSCI18021-24","https://doi.org/10.21273/HORTSCI18021-24","Almond x peach hybrid rootstock Intensia, breeder reference MB 1-37, from Texas x Earlygold","Unbudded hybrid trees in primary testing and grafted Vairo or Marinada orchard trees in a later trial","No registered salinity treatment","not_applicable","not_applicable","7 years for primary testing; later grafted rootstock trial planted in 2010","Individual orchard tree within randomized complete blocks for the described 2010 trial","6-12 trees per replicate in the described Vairo/Marinada trial; exact counts for every supporting trial are not_reported","Vigor; early bearing; flowering and harvest timing; cropping efficiency; water-use-efficiency drought context; graft compatibility","The release describes reduced vigor, early bearing, delayed flowering, early harvest, improved cropping efficiency, propagation, and compatibility in almond and peach contexts","Cultivar-release and trial context; no salinity-effect unit","Cultivar release is not transformation evidence or a controlled salinity study; salinity performance and engineering feasibility remain unvalidated","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","doi:10.21273/HORTSCI18021-24","mixed_source_reported_and_program_assumption","AlmondLab designates Intensia only as a later cross-chassis bridge; no salinity efficacy is assumed"
"EV_ALMOND_CHILLING_2020","Analysis of the Modulation of Dormancy Release in Almond (Prunus dulcis) in Relation to the Flowering and Ripening Dates and Production under Controlled Temperature Conditions","10.3390/agronomy10020277","https://doi.org/10.3390/agronomy10020277","Prunus dulcis cultivars Desmayo Largueta and Tardona","Flowering almond material under controlled seasonal temperature programs","No salinity treatment","not_applicable","not_applicable","Seasonal Autumn, Winter, and Spring controlled-temperature programs; exact duration is protocol-specific","Tree or propagated experimental plant; exact independent-unit structure not_reported in this registry","not_reported in this registry","Dormancy release; flowering time; ripening dates; production under controlled temperature","Controlled temperature modulated flowering time, including delayed flowering in Desmayo Largueta","Timing and production context; no salinity effect","Controlled chilling and flowering study is a greenhouse-programming reference, not evidence for salt tolerance, dwarfing, or engineered-rootstock yield","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","doi:10.3390/agronomy10020277","mixed_source_reported_and_program_assumption","AlmondLab uses this only to inform distinct seasonal greenhouse phases; no candidate effect is assumed"
"EV_ALMOND_SEAWEED_2026","Effects of a seaweed biostimulant on physiology and productivity of mature almonds across tree water status","10.1016/j.stress.2026.101307","https://doi.org/10.1016/j.stress.2026.101307","Mature almond orchard treated with Ascophyllum nodosum extract; not a transgenic donor study","Mature orchard trees","Full and deficit irrigation; no reported saline or seawater treatment in the source abstract","not_applicable_to_salinity","not_reported","Multi-season or protocol-specific duration not_reported in this registry","Orchard tree and irrigation treatment structure; exact independent plot unit not_reported in this registry","not_reported in this registry","Tree water status; gas exchange; osmotic potential; leaf temperature; productivity","Soil-applied extract improved several water-status and gas-exchange measures, with efficacy dependent on water-stress intensity and reduced under long severe stress","Source-reported physiological and productivity context; no salinity or transgene effect","Seaweed extract under water deficit is not evidence that a seaweed gene improves almond salinity tolerance and is not a source-seawater experiment","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","doi:10.1016/j.stress.2026.101307","source_reported","none"
"EV_ALMOND_SALINITY_GUIDE_2024","Salinity Management Guide for Almond Growers","not_applicable","https://www.almonds.org/sites/default/files/2024-02/Salinity%20Management%20Guide%20for%20Almond%20Growers.pdf","California almond production guidance; no donor organism","Commercial orchard management context","Guidance covers irrigation-water and soil salinity, Na, Cl, SAR, leaching, and drainage; no single experimental chemistry","not_applicable_as_guidance","not_applicable_as_guidance","not_applicable_as_guidance","Guidance document; no experimental unit","not_applicable_as_guidance","Salinity measurement and orchard-management guidance","Official grower guidance emphasizes measuring and managing water and soil salinity and drainage; it does not report a construct effect","Guidance context; no experimental effect units","Stakeholder guidance is not a primary causal test and cannot define a seawater recipe or validate contained-system performance","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","url:https://www.almonds.org/sites/default/files/2024-02/Salinity%20Management%20Guide%20for%20Almond%20Growers.pdf","official_source","none"
"EV_CA_OCEAN_DESALINATION","Ocean Desalination","not_applicable","https://www.waterboards.ca.gov/water_issues/programs/ocean/desalination/","California State Water Resources Control Board regulatory context","not_applicable","Regulatory and environmental-review context; no plant treatment chemistry","not_applicable","not_applicable","not_applicable","Regulatory source; no experimental unit","not_applicable","California ocean-desalination permitting and environmental framework","Official page describes California requirements and does not authorize a particular greenhouse concentrate discharge","Regulatory context; no biological effect units","Facility-specific permits, waste classification, disposal agreements, and institutional containment requirements remain fact-specific","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","url:https://www.waterboards.ca.gov/water_issues/programs/ocean/desalination/","official_source","No permit or discharge authorization is inferred"
"EV_USDA_APHIS_SECURE","SECURE Rule","not_applicable","https://www.aphis.usda.gov/biotechnology/regulations/secure-rule","USDA APHIS biotechnology regulatory framework","not_applicable","No salinity treatment","not_applicable","not_applicable","not_applicable","Regulatory source; no experimental unit","not_applicable","Regulated movement, importation, and environmental release framework information","Official source describes the SECURE biotechnology framework; it is not a biosafety approval for this program","Regulatory context; no biological effect units","Actual construct, recipient, facility, movement, and use require institution-specific biosafety and regulatory review","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","url:https://www.aphis.usda.gov/biotechnology/regulations/secure-rule","official_source","No exemption, permit, or approval is inferred"
"EV_SCIENTIFIC_REPORTS_RR_POLICY","Registered Reports","not_applicable","https://www.nature.com/srep/journal-policies/registered-reports","Scientific Reports journal policy","not_applicable","No salinity treatment","not_applicable","not_applicable","not_applicable","Journal policy; no experimental unit","not_applicable","Stage 1 and Stage 2 Registered Reports requirements","Official journal policy describes prospective review of questions, methods, analysis, and sampling before results","Publication-policy context; no biological effect units","Live journal policy can change and does not itself establish scientific validity, acceptance, authorship, or submission readiness","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","url:https://www.nature.com/srep/journal-policies/registered-reports","official_source","Scientific Reports is a proposed target only; acceptance is not assumed"
"EV_ROYAL_SOCIETY_OPEN_SCIENCE_POLICY","Open science","not_applicable","https://royalsociety.org/journals/open-access/open-science/","Royal Society journals policy","not_applicable","No salinity treatment","not_applicable","not_applicable","not_applicable","Journal policy; no experimental unit","not_applicable","Open-science and Registered Reports policy context","Official page describes Royal Society open-science policy and Registered Reports context","Publication-policy context; no biological effect units","Live policy can change and does not itself establish scientific validity, acceptance, authorship, or submission readiness","NA_NON_CANDIDATE","2026-08-12","not_available","primary_source_not_archived","url:https://royalsociety.org/journals/open-access/open-science/","official_source","Royal Society Open Science is an alternative target only; acceptance is not assumed"
